Legend,Shorthand,Location,Province,Province Code
Provincial government health expenditure by use of funds in millions of current dollars; Quebec; 1974-1975 to 2018-2019,F.3.5.1,expenditure_by_type.csv,Quebec,Que.
Percentage distribution of provincial government health expenditure by use of funds; Quebec; 1974-1975 to 2018-2019 ,F.3.5.2,expenditure_by_type.csv,Quebec,Que.
Provincial government per capita health expenditure by use of funds in current dollars; Quebec; 1974-1975 to 2018-2019,F.3.5.3,expenditure_by_type.csv,Quebec,Que.
Provincial government health expenditure by use of funds in millions of current dollars; Nova Scotia; 1974-1975 to 2018-2019,F.3.3.1,expenditure_by_type.csv,Nova Scotia,N.S.
Percentage distribution of provincial government health expenditure by use of funds; Nova Scotia; 1974-1975 to 2018-2019,F.3.3.2,expenditure_by_type.csv,Nova Scotia,N.S.
Provincial government per capita health expenditure by use of funds in current dollars; Nova Scotia; 1974-1975 to 2018-2019,F.3.3.3,expenditure_by_type.csv,Nova Scotia,N.S.
Provincial government health expenditure by use of funds in millions of current dollars; Alberta; 1974-1975 to 2018-2019,F.3.9.1,expenditure_by_type.csv,Alberta,Alta.
Percentage distribution of provincial government health expenditure by use of funds; Alberta; 1974-1975 to 2018-2019 ,F.3.9.2,expenditure_by_type.csv,Alberta,Alta.
Provincial government per capita health expenditure by use of funds in current dollars; Alberta; 1974-1975 to 2018-2019,F.3.9.3,expenditure_by_type.csv,Alberta,Alta.
Provincial government health expenditure by use of funds in millions of current dollars; Newfoundland and Labrador; 1974-1975 to 2018-2019,F.3.1.1,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Percentage distribution of provincial government health expenditure by use of funds; Newfoundland and Labrador; 1974-1975 to 2018-2019,F.3.1.2,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Provincial government per capita health expenditure by use of funds in current dollars; Newfoundland and Labrador; 1974-1975 to 2018-2019,F.3.1.3,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Provincial government health expenditure by use of funds in millions of current dollars; Prince Edward Island; 1974-1975 to 2018-2019,F.3.2.1,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Percentage distribution of provincial government health expenditure by use of funds; Prince Edward Island; 1974-1975 to 2018-2019,F.3.2.2,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Provincial government per capita health expenditure by use of funds in current dollars; Prince Edward Island; 1974-1975 to 2018-2019,F.3.2.3,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Provincial government health expenditure by use of funds in millions of current dollars;  Saskatchewan; 1974-1975 to 2018-2019,F.3.8.1,expenditure_by_type.csv,Saskatchewan,Sask.
Percentage distribution of provincial government health expenditure by use of funds; Saskatchewan; 1974-1975 to 2018-2019 ,F.3.8.2,expenditure_by_type.csv,Saskatchewan,Sask.
Provincial government per capita health expenditure by use of funds in current dollars; Saskatchewan; 1974-1975 to 2018-2019,F.3.8.3,expenditure_by_type.csv,Saskatchewan,Sask.
Territorial government health expenditure by use of funds in millions of current dollars; Northwest Territories; 1974-1975 to 2018-2019,F.3.12.1,expenditure_by_type.csv,Northwest Territories,N.W.T.
Percentage distribution of territorial government health expenditure by use of funds; Northwest Territories; 1974-1975 to 2018-2019 ,F.3.12.2,expenditure_by_type.csv,Northwest Territories,N.W.T.
Territorial government per capita health expenditure by use of funds in current dollars; Northwest Territories; 1974-1975 to 2018-2019,F.3.12.3,expenditure_by_type.csv,Northwest Territories,N.W.T.
Provincial government health expenditure by use of funds in millions of current dollars; New Brunswick; 1974-1975 to 2018-2019,F.3.4.1,expenditure_by_type.csv,New Brunswick,N.B.
Percentage distribution of provincial government health expenditure by use of funds; New Brunswick; 1974-1975 to 2018-2019,F.3.4.2,expenditure_by_type.csv,New Brunswick,N.B.
Provincial government per capita health expenditure by use of funds in current dollars; New Brunswick; 1974-1975 to 2018-2019,F.3.4.3,expenditure_by_type.csv,New Brunswick,N.B.
Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,F.3.13.1,expenditure_by_type.csv,Nunavut,Nun.
Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,F.3.13.2,expenditure_by_type.csv,Nunavut,Nun.
Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1974-1975 to 2018-2019,F.3.13.3,expenditure_by_type.csv,Nunavut,Nun.
Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1974-1975 to 2018-2019,F.3.10.1,expenditure_by_type.csv,British Columbia,B.C.
Percentage distribution of provincial government health expenditure by use of funds; British Columbia; 1974-1975 to 2018-2019 ,F.3.10.2,expenditure_by_type.csv,British Columbia,B.C.
Provincial government per capita health expenditure by use of funds in current dollars; British Columbia; 1974-1975 to 2018-2019,F.3.10.3,expenditure_by_type.csv,British Columbia,B.C.
Provincial government health expenditure by use of funds in millions of current dollars; Manitoba; 1974-1975 to 2018-2019,F.3.7.1,expenditure_by_type.csv,Manitoba,Man.
Percentage distribution of provincial government health expenditure by use of funds; Manitoba; 1974-1975 to 2018-2019 ,F.3.7.2,expenditure_by_type.csv,Manitoba,Man.
Provincial government per capita health expenditure by use of funds in current dollars; Manitoba; 1974-1975 to 2018-2019,F.3.7.3,expenditure_by_type.csv,Manitoba,Man.
Territorial government health expenditure by use of funds in millions of current dollars; Yukon; 1974-1975 to 2018-2019,F.3.11.1,expenditure_by_type.csv,Yukon,Y.T.
Percentage distribution of territorial government health expenditure by use of funds; Yukon; 1974-1975 to 2018-2019 ,F.3.11.2,expenditure_by_type.csv,Yukon,Y.T.
Territorial government per capita health expenditure by use of funds in current dollars; Yukon; 1974-1975 to 2018-2019,F.3.11.3,expenditure_by_type.csv,Yukon,Y.T.
Provincial government health expenditure by use of funds in millions of current dollars; Ontario; 1974-1975 to 2018-2019,F.3.6.1,expenditure_by_type.csv,Ontario,Ont.
