Year,Category,Provincial/territorial prescribed drugs,Federal direct prescribed drugs,Workers compensation board prescribed drugs,Drug insurance funds premium on prescribed drugs,Total public-sector prescribed drugs,Private insurers* prescribed drugs,Out-of-pocket prescribed drugs,Total private-sector prescribed drugs,Total prescribed drugs,Private over-the-counter drugs ,Private personal health supplies ,Total non-prescribed drugs,Public-sector total drugs,Private-sector total drugs,Total drugs,Shorthand,Legend,Province,Province Code
1985,G.4.1: Expenditure by year,33.86905404,1.65575,0.138,,35.66280404,,,38.787181,74.44998504,,,48.40551307,35.66280404,87.19269407,122.85549809999999,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1986,G.4.1: Expenditure by year,39.58310467,1.7823810080000002,0.158,,41.52348567,,,45.62344119,87.14692686,,,54.81464092,41.52348567,100.4380821,141.9615678,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1987,G.4.1: Expenditure by year,46.22111752,1.9489074430000002,0.1831379,,48.35316286,,,56.13346562,104.48662850000001,,,63.56445432,48.35316286,119.6979199,168.05108280000002,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1988,G.4.1: Expenditure by year,48.5185,2.65217315,0.216975345,,51.38764849,,,61.35790559,112.74555409999999,,,61.571999999999996,51.38764849,122.92990559999998,174.3175541,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1989,G.4.1: Expenditure by year,52.68425,3.111916245,0.25081279,,56.04697904,,,67.06859333,123.11557240000002,,,59.641999999999996,56.04697904,126.7105933,182.75757240000002,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1990,G.4.1: Expenditure by year,58.3385,3.689946795,0.39264168,,62.42108848,,,80.25959936,142.68068780000002,,,60.983000000000004,62.42108848,141.2425994,203.6636878,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1991,G.4.1: Expenditure by year,62.44,4.149541385,0.43653662,,67.026078,,,88.79689137,155.8229694,,,66.071,67.026078,154.86789140000002,221.8939694,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1992,G.4.1: Expenditure by year,59.9915,4.23063317,0.54452911,,64.76666228,,,102.19063919999999,166.9573015,35.58873707,32.31602159,67.90475866,64.76666228,170.0953979,234.8620602,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1993,G.4.1: Expenditure by year,56.78014874,5.1828899360000005,0.56466075,,62.52769943,,,111.277025,173.80472450000002,36.97142410000001,34.51477226,71.48619636,62.52769943,182.76322140000002,245.2909208,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1994,G.4.1: Expenditure by year,55.96007808,5.734396547,0.59509254,,62.28956717,,,118.38564309999998,180.6752102,37.30133119,35.50376591,72.80509709999998,62.28956717,191.19074009999997,253.48030730000002,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1995,G.4.1: Expenditure by year,58.310483700000006,6.398151541,0.64525894,,65.35389418,,,127.75119120000001,193.1050854,34.3937,33.46966851,67.86336852,65.35389418,195.61455969999997,260.9684539,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1996,G.4.1: Expenditure by year,54.79144129,6.403760641,0.72970773,,61.92490966,,,126.7240473,188.6489569,32.94141015,30.63657186,63.57798201,61.92490966,190.30202930000002,252.2269389,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1997,G.4.1: Expenditure by year,56.13476473,7.109430937999999,0.73056424,,63.97475991,,,143.937516,207.9122759,44.53212534,42.55076885,87.08289419,63.97475991,231.0204102,294.99517010000005,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
1998,G.4.1: Expenditure by year,62.14348636,8.608432345,0.87167984,,71.62359854,,,149.67695600000002,221.3005545,42.52317789,41.63634577,84.15952366,71.62359854,233.83647969999998,305.46007819999994,G.4.1,Expenditure on drugs by type and source of finance in millions of current dollars; New Brunswick; 1985 to 2018,New Brunswick,N.B.
