Year,Category,Hospitals,Other Institutions,Physicians,Other Professionals ,Drugs,Capital,Public Health,Administration,Other Health Spending,Total,Shorthand,Legend,Province,Province Code
1999,F.3.13.1: Expenditure by year,67.71545621,3.01937774,14.47825896,1.915066436,1.318672668,23.34685659,4.531822099,9.533875688,21.51905868,147.3784451,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2000,F.3.13.1: Expenditure by year,69.92235364,2.920627354,14.88701358,1.396838984,1.16515298,4.653699425,4.803807928,16.35563303,23.914581,140.0197079,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2001,F.3.13.1: Expenditure by year,70.99758018,3.351751705,15.48964988,1.44242601,1.27522439,6.446683186,6.393753314,16.4322,24.53461452,146.3638832,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2002,F.3.13.1: Expenditure by year,89.4076125,4.82640075,19.91888546,1.730363557,1.628265196,16.74688274,9.477865178,19.5011957,28.51461213,191.7520832,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2003,F.3.13.1: Expenditure by year,94.39739905,5.321686487,26.02425102,1.940223006,2.264558497,54.40225729,6.277692478,15.1848,31.38915029,237.2020181,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2004,F.3.13.1: Expenditure by year,105.4591063,4.69277178,26.18311867,1.951311246,2.229318636,42.76469895,7.284488676,15.7635,30.20088116,236.5291955,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2005,F.3.13.1: Expenditure by year,115.804204,6.314705662,29.42866483,2.321631695,2.497624258,15.43776206,10.26314084,16.5339,34.69202872,233.2936621,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2006,F.3.13.1: Expenditure by year,131.7507221,6.584577195,31.46478865,2.396475579,2.9668277,27.26694259,11.12705652,12.8241,35.18355228,261.5650426,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2007,F.3.13.1: Expenditure by year,129.4620182,6.029893239,29.65501226,2.437449684,2.935047689,29.275,11.04629548,12.6954,33.00228342,256.5384,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2008,F.3.13.1: Expenditure by year,126.5999568,24.61912255,43.16428063,3.309984978,1.885580702,10.73732801,17.66134633,16.48716889,31.8924297,276.3571986,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2009,F.3.13.1: Expenditure by year,143.7773845,30.63469589,45.91614166,3.756416482,2.754328493,5.190387861,21.07936267,17.29932677,34.64309061,305.0511349,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2010,F.3.13.1: Expenditure by year,141.4069113,35.77842187,49.89432716,3.668412936,2.553232818,8.192159377,20.5058121,24.21759627,33.84178161,320.0586554,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2011,F.3.13.1: Expenditure by year,150.3522178,40.98034438,49.42265175,3.656518612,4.746005658,13.91802733,21.2967152,28.21420205,36.41484367,349.0015265,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2012,F.3.13.1: Expenditure by year,160.8315465,42.61351146,52.66815699,4.257885183,4.832596728,15.09136391,22.75938757,31.01628041,38.78058118,372.85131,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2013,F.3.13.1: Expenditure by year,167.6260552,42.01078301,55.80493613,2.622518703,5.292326097,24.8452739,32.97902194,33.36422241,37.79356305,402.3387004,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2014,F.3.13.1: Expenditure by year,173.0123328,44.00452963,57.68098859,2.574669413,4.801911696,35.47793197,37.97938062,31.85562255,38.35740435,425.7447717,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2015,F.3.13.1: Expenditure by year,183.2526075,47.74006495,62.95949523,2.411491034,5.490165792,24.63439912,41.5603304,37.95291363,42.80819107,448.8096587,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2016,F.3.13.1: Expenditure by year,197.2176151,50.72085922,64.74166668,2.565504947,5.498793388,14.63661684,43.56377141,47.50537488,43.29793189,469.7481343,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2017,F.3.13.1: Expenditure by year,207.4504952,54.13485098,67.98177449,2.691284091,5.786886597,14.78838745,51.57882309,59.99390149,46.15453414,510.5609375,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
2018,F.3.13.1: Expenditure by year,199.8048483,55.36929163,65.43511414,2.497334731,5.560966507,4.785923814,53.43513351,60.26341313,44.80105789,491.9530836,F.3.13.1,Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1974-1975 to 2018-2019,Nunavut,Nun.
1999,F.3.13.2: Percentage by year,45.94664856,2.048724112,9.823864643,1.29942098,0.894752735,15.84143229,3.074955837,6.468975625,14.60122521,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2000,F.3.13.2: Percentage by year,49.93750857,2.085868766,10.63208444,0.997601698,0.832134988,3.323603151,3.430808419,11.68095069,17.07943928,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2001,F.3.13.2: Percentage by year,48.50758167,2.290012831,10.58297275,0.985506792,0.871269853,4.404558724,4.368395519,11.22695001,16.76275184,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
2002,F.3.13.2: Percentage by year,46.62667075,2.517000425,10.38783263,0.902396223,0.849151242,8.733611892,4.942770383,10.17000461,14.87056185,100,F.3.13.2,Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1974-1975 to 2018-2019 ,Nunavut,Nun.
