,Year,Province Code,GDP ($mm),Pop (k),GDP/capita ($),CPI (healthcare),Private health spend/capita ($),Private health spend total ($mm),Public health spend/capita ($),Public health spend total ($mm),Private drug spend/capita ($),Private drug spend total ($mm),Public drug spend/capita ($),Public drug spend total ($mm),Private hospital spend/capita ($),Private hospital spend total ($mm),Public hospital spend/capita ($),Public hospital spend total ($mm),Non-working age pop (k),Working age pop (k),Pct working age (%)
0,1975,N.L.,,556.5,,31.47279126,106.6547222,59.35207306,368.6346336,205.14075,70.8404392,39.42185433,6.817307831,3.79375,6.309210621,3.511,202.0021097,112.41175,,,
1,1976,N.L.,,562.6,,35.72161809,154.4031003,86.87336038,401.5884935,225.94975,113.530282,63.87667788,7.300405232,4.1075,7.928693303,4.461,221.8785547,124.83775,,,
2,1977,N.L.,,565.3,,38.16075941,215.4176033,121.7755711,426.51114450000006,241.10675,164.0527124,92.7389983,7.975853529,4.50875,9.324252609,5.271,245.4705466,138.7645,,,
3,1978,N.L.,,567.7,,40.28517282,257.6754934,146.2823776,469.2839528,266.4125,190.5248671,108.160967,8.734366743,4.9585,13.39263696,7.603,278.517703,158.1145,,,
4,1979,N.L.,,570.1,,42.16225972,288.4002456,164.4239016,541.8343203,308.91275,202.6495409,115.5353669,10.22584561,5.83,15.60362307,8.896,325.3388736,185.4835,,,
5,1980,N.L.,,572.9,,46.90912373,311.7947220000001,178.62439009999997,610.5485162,349.77775,212.5796448,121.7849653,14.20645463,8.13875,17.46754618,10.007,366.8538169,210.16725,,,
6,1981,N.L.,5240.0,574.8,9116.214335421017,51.8274524,366.78089680000005,210.81649,714.0981254,410.44575,258.3324306,148.4830228,17.68605106,10.1655,19.41629333,11.16,428.0348832,246.02375,,,
7,1982,N.L.,5639.0,574.6,9813.783501566308,58.34310983,380.1502155,218.4331734,840.2606522,482.81125,268.7331918,154.4132858,21.85923351,12.56025,24.20305014,13.907,487.3650576,280.0385,,,
8,1983,N.L.,6052.0,579.6,10441.68391994479,65.2016966,405.0123551,234.7374658,929.9744125,538.9955,265.6574979,153.9700383,26.10506556,15.13,26.29485784,15.24,534.6099165,309.84975,,,
9,1984,N.L.,6495.0,580.2,11194.415718717684,69.28075083,330.6054533,191.8110025,965.0591798,559.909,186.0308934,107.9315898,30.20005826,17.5215,26.96055197,15.642,551.6149271,320.0365,,,
10,1985,N.L.,6812.0,579.3,11759.019506300709,71.54588936,340.1606868,197.0540654,1016.336611,588.76075,185.8505451,107.6626632,35.22976988,20.4085,27.93213153,16.181,570.5941857,330.5435,,,
11,1986,N.L.,7377.0,576.5,12796.183868169992,76.08519087,294.1515176000001,169.5768791,1115.183566,642.89775,138.4634247,79.82347201,42.28267374,24.37575,31.22437346,18.00069518,619.7686016,357.2935,,,
12,1987,N.L.,7973.0,575.2,13861.265646731572,80.04692717,326.8861714,188.0111966,1205.90512,693.585977,152.5914008,87.7641649,48.858691,28.101467,34.0036752,19.55748582,658.2771291,378.613357,,,
13,1988,N.L.,8559.0,575.0,14885.217391304348,83.44914719,342.8129992000001,197.1137036,1276.137428,733.7649838,158.3341281,91.04038201,52.4762072,30.1732419,40.96070927,23.55195726,718.7137065,413.2524754,,,
14,1989,N.L.,9059.0,576.4,15716.516308119362,87.56429925,353.7529995,203.8989839,1366.632392,787.7105113,164.0515009,94.55731649,57.04050757,32.87746408,43.1840826,24.890787,762.3173282,439.3905602,,,
15,1990,N.L.,9295.0,578.0,16081.314878892734,90.84920134,381.5505656,220.5503443,1515.289209,875.8932283,171.2196222,98.97127673,64.86722276,37.49565484,60.3254597,34.87034775,836.8227611,483.7145183,,,
16,1991,N.L.,9702.0,579.5,16742.01898188093,95.52386969,427.13058,247.5298595,1562.856642,905.7035553,178.7345535,103.579891,73.82563859,42.78328642,78.7330428,45.6272155,873.0910825,505.9719979,,,
17,1992,N.L.,9679.0,580.0,16687.931034482757,98.48389135,463.98581510000014,269.1252284,1600.380181,928.2669163,192.139938,111.4467361,80.29705346,46.57461962,93.4407771,54.1983605,906.4614065,525.7739032,,,
18,1993,N.L.,9878.0,579.9,17033.97137437489,101.0017146,489.99185189999986,284.1653846000001,1594.8381880000006,924.9088638,200.0436937,116.0131397,88.11999767,51.10422333,90.33384244,52.38811825,895.2442773,519.187071,,,
19,1994,N.L.,10408.0,574.5,18116.62315056571,101.3987907,524.2006903,301.1370463,1650.4487,948.1316144,207.3253416,119.1019816,97.11713442,55.79078309,88.94855075,51.098185,920.4822049,528.7884918,,,
20,1995,N.L.,10860.0,567.4,19139.936552696512,101.0017146,522.2689893999999,296.3573599,1714.871727,973.0902428,225.5008395,127.9586474,103.5823431,58.77697191,59.77159207,33.91691175,908.3950375,515.4614969,,,
21,1996,N.L.,10614.0,559.8,18960.342979635585,99.94585326,498.3092319,278.9569962,1740.597886,974.398881,244.1151482,136.6573688,105.3721287,58.98805524,35.13427396,19.6684125,859.4845336,481.1454583,215.827,343.97999999999996,61.446945337620576
22,1997,N.L.,10718.0,551.0,19451.905626134303,100.0,516.3307998,284.50395039999995,1852.679843,1020.846973,232.6522507,128.1939493,106.6730008,58.77799685,38.45290747,21.187975,833.7812119,459.4226193,209.978,341.033,61.893466424682394
23,1998,N.L.,11279.0,539.9,20890.90572328209,101.8319646,603.0205344999998,325.5900832,2051.728336,1107.793784,255.5248154,137.9660246,115.0121761,62.09875428,40.34025581,21.780995,940.7240686,507.9270278,204.086,335.846,62.20522318947954
24,1999,N.L.,12351.0,533.4,23155.23059617548,103.3390488,623.4425942,332.5498907,2344.867141,1250.773237,283.8493077,151.4077754,125.3642626,66.87042594,46.38554561,24.7424675,996.4296135,531.5045237,199.923,333.486,62.52080989876265
25,2000,N.L.,14153.0,528.0,26804.924242424244,105.3876004,697.9976982000003,368.5727986,2497.2882870000008,1318.675599,318.4985667,168.1809387,146.9778783,77.61063979,52.84917611,27.9066375,1065.820928,562.7992804,196.21800000000002,331.825,62.84564393939394
26,2001,N.L.,14441.0,522.0,27664.750957854405,107.1744427,742.1453966,387.389507,2711.818529,1415.531306,340.0903361,177.5223942,169.9091884,88.69021761,55.80689904,29.13042,1205.176376,629.0851958,192.39600000000002,329.59,63.13984674329502
27,2002,N.L.,16730.0,519.4,32210.24258760108,108.3115242,800.8935042,416.0233299,2907.086981,1510.083425,384.7150473,199.8398466,191.1732371,99.30474682,61.61061047,32.00357,1309.269757,680.0988662,189.57600000000002,329.87300000000005,63.510396611474796
28,2003,N.L.,18415.0,518.4,35522.76234567901,109.4576302,907.5266089,470.4872048,3069.765766,1591.452527,421.3947454,218.4628351,209.9639635,108.8511977,69.22791111,35.8896875,1346.916343,698.2791457,187.196,331.232,63.89506172839508
29,2004,N.L.,19666.0,517.3,38016.624782524654,109.1868965,984.2635961,509.16251110000013,3149.480132,1629.235521,443.1377082,229.2364659,221.1291509,114.3907732,75.868809,39.2471625,1372.070534,709.7762035,185.077,332.226,64.2230813841098
30,2005,N.L.,22267.0,514.1,43312.58510017506,110.1795867,1075.835223,553.134225,3281.060389,1686.937513,478.8907307,246.2187959,231.5127486,119.0308906,94.95397932,48.82001874,1474.314878,758.0101484,183.297924119,330.84607588,64.35442051740907
31,2006,N.L.,24577.0,510.6,48133.56835095966,112.5169209,1108.307416,565.8840339,3496.021304,1785.012541,508.9914543,259.8828927,236.9755231,120.9959105,109.9684018,56.14810645,1634.933846,834.771063,181.6,328.98400000000004,64.43086564825695
32,2007,N.L.,29065.0,509.0,57102.16110019646,114.240592,1253.20654,637.9310041,3789.7222520000014,1929.1164260000005,578.2412119,294.3473283,254.1706845,129.3827911,115.1359802,58.60870424,1746.528031,889.0508825,181.585,327.45400000000006,64.33280943025541
33,2008,N.L.,31573.0,511.5,61726.29521016618,116.5598773,1262.367069,645.7550376,4104.074511,2099.410588,552.4298382,282.5916167,262.973453,134.5222291,120.8771707,61.83387055,1856.349311,949.6024957,182.94,328.603,64.24301075268818
34,2009,N.L.,25001.0,516.7,48385.910586413775,123.3372439,1331.157959,687.847921,4486.522599,2318.316336,597.960778,308.9836749,275.0321854,142.1171061,125.1535695,64.67047884,2027.587323,1047.71317,185.33700000000002,331.392,64.13624927424037
35,2010,N.L.,29085.0,522.0,55718.3908045977,122.804801,1470.458066,767.5379377,4885.049813000001,2549.859221,678.0302608,353.9128113,285.8000298,149.1796132,133.8319699,69.856541,2148.57257,1121.494722,186.98899999999998,334.983,64.17298850574713
36,2011,N.L.,33539.0,525.0,63883.80952380953,123.7523689,1522.126394,799.1726758,5167.109192,2712.923509,677.6811667,355.8076867,304.6537935,159.9545138,153.6312241,80.662077,2227.857833,1169.707793,189.792,335.245,63.85619047619048
37,2012,N.L.,32033.0,526.5,60841.405508072174,124.3118852,1615.264239,850.3558587000001,5319.600047999998,2800.503445,669.2010138,352.3008737,315.8771476,166.2935243,152.8237222,80.45404855,2245.650698,1182.22281,192.399,334.051,63.44748338081671
38,2013,N.L.,34459.0,527.4,65337.50474023512,120.9367386,1566.957956,826.4120588999997,5285.388548,2787.508635,668.2806774,352.450561,304.4105048,160.5457958,148.4155061,78.27418949,2252.603334,1188.020746,195.018,332.381,63.022563519150545
39,2014,N.L.,34277.0,528.4,64869.41710825133,120.7562494,1623.859243,858.0244898,5292.664851,2796.5700100000013,673.4582708,355.8459219,296.9759154,156.917916,150.477174,79.51003204,2295.528661,1212.925207,197.80199999999996,330.58399999999995,62.56320968962906
40,2015,N.L.,30332.0,528.8,57360.06051437216,121.6496706,1605.783243,849.1622653999997,5458.79166,2886.690912,685.4833452,362.4938752,307.1168874,162.4080168,157.385761,83.22795123,2354.640596,1245.169267,200.702,328.113,62.04860060514372
41,2016,N.L.,31112.0,530.3,58668.67810673204,123.6801733,1684.234173,893.1578028999999,5502.168633,2917.827537,693.4342604,367.7316555,303.2930172,160.8378035,156.1253092,82.79403208,2408.518574,1277.249443,,,
42,2017,N.L.,31951.3492,528.8,60422.36989409985,125.7467738,1722.592866,910.9363918,5543.832271,2931.67275,710.2995974,375.6185022,302.9382426,160.1988926,157.4706448,83.27315395,2431.192957,1285.656166,,,
43,2018,N.L.,33238.64684,525.5,63251.468772597524,126.7630657,1784.53925,937.8195502999997,5658.138939,2973.492075,735.4108959,386.4766302,304.3054382,159.9200406,159.0696612,83.59504456,2462.675875,1294.197133,,,
44,1975,P.E.I.,,117.7,,26.57565449,135.81025480000002,15.98799063,366.8123476,43.18225,76.10241361,8.959004438,7.69815584,0.90625,6.9315257,0.816,200.7169372,23.629,,,
45,1976,P.E.I.,,118.6,,28.51657308,131.4170214,15.59223534,398.4045109,47.2695,65.37346273,7.756365233,7.657167901,0.9085,8.023801697,0.952,215.8988428,25.61575,,,
46,1977,P.E.I.,,120.0,,30.75609452,134.1909539,16.10707439,438.3680049,52.61775,59.57287409,7.15059165,8.158309103,0.97925,8.981013238,1.078,228.0598345,27.37425,,,
47,1978,P.E.I.,,121.7,,34.26467812,171.57211,20.8827278,481.4770692,58.6025,86.52775566,10.53163925,8.497379102,1.03425,9.990633781,1.216,254.8351052,31.017,,,
48,1979,P.E.I.,,123.0,,36.10534265,258.3148561,31.77221068,526.923202,64.8105,122.4075176,15.05587985,7.494024293,0.92175,11.67498659,1.436,282.006618,34.68625,,,
49,1980,P.E.I.,,123.7,,39.40909949,380.6924974,47.10155993,607.8956727000002,75.2125,146.656121,18.14517523,9.70087128,1.20025,12.96413042,1.604,317.702019,39.308,,,
50,1981,P.E.I.,1071.0,123.7,8658.043654001616,45.62016236,398.7762955,49.34497758,703.3945903,87.03875,198.6570927,24.58202731,10.83917214,1.34125,15.39505903,1.905,364.6608642,45.1235,,,
51,1982,P.E.I.,1150.0,123.9,9281.678773204198,52.81291297,407.146103,50.42870917,823.0245682999997,101.939,243.0087548,30.09882136,13.09553605,1.622,17.47955336,2.165,441.5363437,54.68825,,,
52,1983,P.E.I.,1334.0,125.4,10637.958532695375,56.42816689,407.2331807,51.08577359,904.0662048,113.41148909999998,272.1259318,34.13710964,14.82311114,1.8595,18.00774835,2.259,478.6322402,60.0425,,,
53,1984,P.E.I.,1375.0,126.6,10860.979462875197,61.70473853,394.192233,49.91025539,956.7040209,121.1321229,235.2161103,29.78165259,16.88004486,2.13725,19.87931824,2.517,493.7427931,62.51475,,,
54,1985,P.E.I.,1435.0,127.7,11237.274862960063,66.01850104,414.6597807,52.93712625,1004.736287,128.2686533,236.576236,30.2022686,19.42011844,2.47925,21.07093621,2.69,512.0727065,65.37325,,,
55,1986,P.E.I.,1669.0,128.4,12998.442367601247,70.05852369,386.1328814,49.58448170000001,1074.571341,137.98892959999998,194.3934408,24.96264492,24.02129975,3.084647165,21.67451066,2.783288938,543.1617078,69.74902438,,,
56,1987,P.E.I.,1768.0,128.6,13748.05598755832,73.80592788,414.2417139,53.26029988,1164.098474,149.6716331,188.133203,24.18885031,35.62411904,4.580299857,23.62177237,3.037122138,577.4987666,74.25074892,,,
57,1988,P.E.I.,1940.0,129.3,15003.866976024747,79.63941854,437.41789169999987,56.54894762,1260.706853,162.98292130000004,186.52545,24.11382365,41.14608031,5.319324116,24.58565562,3.178408973,631.5729168,81.64911511,,,
58,1989,P.E.I.,2089.0,130.1,16056.879323597233,83.27355107,499.1758931,64.93130264,1340.835225,174.4118235,191.1999573,24.87071685,46.47883678,6.045827652,26.71211283,3.4746315,691.7982925,89.98704649,,,
59,1990,P.E.I.,2179.0,130.5,16697.318007662834,88.33301869,535.908656,69.95698004,1426.829912,186.2569499,218.9591029,28.58270234,55.88414781,7.295060771,28.48285187,3.718123,749.7382174,97.87007717,,,
60,1991,P.E.I.,2256.0,130.3,17313.89102072141,93.34528979,589.6945246,76.84073472,1563.8094119999994,203.7737492,235.0426704,30.62747021,63.09338196,8.22144623,30.90641452,4.02729125,806.5914506,105.1037056,,,
