Year,Category,Provincial government ,Federal direct ,Municipal government ,Social security funds ,Public-sector total,Private-sector ,Total 
1975,A.2.1: Expenditure by year,8709.28925,398.25075,71.64887399999999,121.071,9300.259874,2899.176975,12199.43685
1976,A.2.1: Expenditure by year,10129.8685,439.68925,105.77920970000001,141.857,10817.193959999999,3232.5888059999997,14049.782769999998
1977,A.2.1: Expenditure by year,11102.03,475.227,114.16074240000002,153.141,11844.55874,3605.419717,15449.97846
1978,A.2.1: Expenditure by year,12269.448999999999,485.60975,111.69360520000001,173.762,13040.51436,4066.2854729999995,17106.79983
1979,A.2.1: Expenditure by year,13696.601999999999,512.8355,156.02684150000002,186.8115517,14552.27589,4617.402244,19169.67814
1980,A.2.1: Expenditure by year,15794.05,582.082,234.00377269999998,231.7124877,16841.84826,5456.523384,22298.37164
1981,A.2.1: Expenditure by year,18655.492,692.69225,275.38284710000005,319.0276263,19942.594719999997,6334.112156,26276.70688
1982,A.2.1: Expenditure by year,22002.13775,854.80675,250.8418043,339.05482689999997,23446.84113,7312.2913260000005,30759.13246
1983,A.2.1: Expenditure by year,24510.17349,994.91025,222.2071272,352.72021960000006,26080.01109,7958.591986,34038.60307
1984,A.2.1: Expenditure by year,26243.95704,1106.12825,214.53448230000004,392.2566208,27956.8764,8786.263809999999,36743.140210000005
1985,A.2.1: Expenditure by year,28202.79007,1157.67075,273.0929025,461.954245,30095.50797,9746.861249,39842.36922
1986,A.2.1: Expenditure by year,30501.456869999998,1260.788578,310.19478,456.98541730000005,32529.425639999998,10808.72183,43338.14748
1987,A.2.1: Expenditure by year,32821.91373,1349.73452,404.58406460000003,479.4707121999999,35055.70302,11733.504570000001,46789.20759
1988,A.2.1: Expenditure by year,35806.18672,1522.8443029999999,303.4951066,531.1422176,38163.66835,12796.40186,50960.070210000005
1989,A.2.1: Expenditure by year,39332.06366,1686.596965,326.4330848,566.7857613,41911.87948,14184.342819999998,56096.2223
1990,A.2.1: Expenditure by year,42536.311330000004,1970.432675,364.6158608,644.4424567000001,45515.802319999995,15577.07705,61092.87937
1991,A.2.1: Expenditure by year,46324.38729,2110.021948,374.65556910000004,721.4456245,49530.51043,16906.919530000003,66437.42996000001
1992,A.2.1: Expenditure by year,48441.59221,2199.8960629999997,396.948532,703.2488597999999,51741.68566,18111.950080000002,69853.63575
1993,A.2.1: Expenditure by year,48591.64897,2280.900409,383.72331710000003,684.7564623,51941.029160000006,19578.05585,71519.08501
1994,A.2.1: Expenditure by year,48933.81549,2519.802255,446.06406780000003,685.7233524000001,52585.40516,20574.22221,73159.62737
1995,A.2.1: Expenditure by year,49087.448860000004,2666.97076,394.8631102,718.004163,52867.286889999996,21370.10424,74237.39112999999
1996,A.2.1: Expenditure by year,49448.4447,2606.2384230000002,348.0673859,769.0479071000001,53171.79841,21910.49454,75082.29295
1997,A.2.1: Expenditure by year,51150.22531,2827.974936,318.66777010000004,911.5899303,55208.45795,23533.07809,78741.53603999999
1998,A.2.1: Expenditure by year,54374.67582999999,3027.470894,765.8762534,1001.3683800000001,59169.39136,24897.87542,84067.26677999999
1999,A.2.1: Expenditure by year,58438.25715,3152.887323,565.3901992000001,1131.40138,63287.93606,27180.56012,90468.49617
2000,A.2.1: Expenditure by year,63671.10506,3614.4610439999997,690.3347402,1298.791506,69274.69235,29335.004869999997,98609.69722
