Year ,Category,Hospitals ,Other Institutions ,Physicians ,Other Professionals: Dental Services ,Other Professionals: Vision Care Services ,Other Professionals: Other services,Total Other Professionals,Prescribed Drugs ,Over-the-Counter Drugs,Drugs: Personal Health Supplies,Total Drugs,Capital ,Public Health ,Administration ,Other health spending: Health Research ,Other health spending: Other Health Care Goods,Other health spending: Other Health Care Services,Total Other Health Spending,Grand Total 
1988,H.1: Expenditure by year,1903.1301649999998,1270.36875,79.58942355,3182.64955,1003.394016,419.591209,4605.634775,2033.968884,950.5930668,834.3403332,3818.9022840000002,351.01336299999997,,426.27281849999997,164.1115,107.94888429999999,69.42989452,341.4902788,12796.40186
1989,H.1: Expenditure by year,2001.1472449999999,1312.75375,83.96682334,3470.381506,1096.708052,492.2251373,5059.314695,2292.03322,1052.090193,923.5397067,4267.66312,390.3962588,,660.1797709,196.055,120.4388967,92.42726373,408.9211605,14184.342819999998
1990,H.1: Expenditure by year,2240.309498,1581.38755,87.8612938,3756.7877380000004,1177.3262730000001,562.0721151,5496.186126,2593.851226,1096.1129779999999,962.5747218,4652.538926,383.3706423,,665.3774212000001,226.22225,129.67866999999998,114.14467250000001,470.0455925,15577.07705
1991,H.1: Expenditure by year,2421.38627,1768.3013,90.92509135,4061.811474,1237.05504,619.695817,5918.562331,2861.922537,1191.172641,1045.452759,5098.547936999999,341.7051151,,746.8375619,249.764,137.0707122,133.8192074,520.6539196,16906.919530000003
1992,H.1: Expenditure by year,2537.766983,1889.87795,93.82529901,4272.815845,1295.41057,678.9615805,6247.187995,3192.252395,1290.032339,1128.075351,5610.360085,363.1049843,,804.9899955,265.49725,146.8925063,152.4470364,564.8367927,18111.950080000002
1993,H.1: Expenditure by year,2669.978979,2012.879872,97.25858531,4500.852878,1376.002784,732.6482611,6609.503922999999,3558.6717270000004,1372.955266,1203.068699,6134.695691,366.7251665,,1060.039989,275.5646059,168.2643123,183.14472709999998,626.9736452999999,19578.05585
1994,H.1: Expenditure by year,2660.571253,2092.005442,102.1919484,4781.244907,1478.962495,797.4236412,7057.631043,3673.346862,1475.144172,1288.8801210000001,6437.371156,329.6430858,,1226.3670849999999,293.15398789999995,174.65791919999998,200.6292883,668.4411953,20574.22221
1995,H.1: Expenditure by year,2382.006167,2112.550341,109.06849440000002,5060.245917,1581.279599,838.9345118999998,7480.460028,4033.77327,1474.2129400000001,1314.17004,6822.15625,439.14442410000004,,1274.07699,319.427527,194.2061608,237.00785809999996,750.6415458,21370.10424
1996,H.1: Expenditure by year,2248.0905399999997,2105.354859,119.45722759999998,5274.103690999999,1634.856534,884.0117907,7792.972016,4273.310205,1507.958729,1338.772482,7120.041416,474.03395839999996,,1309.053803,332.1312458,208.5568689,200.8026036,741.4907182,21910.49454
1997,H.1: Expenditure by year,2327.776147,2132.127149,121.3223153,5514.7985659999995,1974.6856149999999,1068.570676,8558.054856,4933.1805380000005,1569.180711,1407.594948,7909.9561969999995,364.33387989999994,,1291.4478199999999,358.913,210.05375389999998,259.0929729,828.0597267999999,23533.07809
1998,H.1: Expenditure by year,2335.6719940000003,2210.335286,143.30017709999998,5909.1358390000005,2073.47602,1027.924104,9010.535963,5443.540118999999,1661.681782,1509.665045,8614.886946999999,427.5,,1110.29332,557.467395,213.47736099999997,274.4069818,1045.351738,24897.87542
1999,H.1: Expenditure by year,2476.939974,2395.983686,152.9615292,6378.865571,2129.969043,1183.816424,9692.651039,5689.031428,1782.118781,1576.699867,9047.850076,882.1,,1333.2467550000001,631.0394349999999,227.2042591,340.58336380000003,1198.827058,27180.56012
2000,H.1: Expenditure by year,2664.641846,2650.177823,175.3335282,6783.598639,2346.1056489999996,1216.8356449999999,10346.539929999999,6429.313695000001,1815.2468579999997,1605.0134,9849.573951999999,830.6,,1514.4243880000001,706.4681575000001,257.4012814,339.84395930000005,1303.713398,29335.004869999997
2001,H.1: Expenditure by year,2925.6425440000003,2719.932085,148.47245880000003,7361.150058,2513.2598199999998,1449.746099,11324.15598,7102.502622,1882.3886120000002,1654.0270269999999,10638.918259999999,1088.8,,1990.105795,806.5436599999999,220.27480079999998,353.7980659,1380.616527,32216.64365
2002,H.1: Expenditure by year,3279.363015,2943.223749,259.7680253,7829.962334000001,2559.9269489999997,1505.158494,11895.047779999999,7943.870381000001,1972.1828070000001,1712.525709,11628.5789,1232.5,,2304.32245,871.2435475,265.890052,467.3589607,1604.49256,35147.29647
2003,H.1: Expenditure by year,3327.4775440000003,3088.014673,196.684363,8071.291512999999,2437.609401,1534.2346300000002,12043.135540000001,8848.522811,2047.6241260000002,1714.5813870000002,12610.72832,1423.5,,2605.167066,994.87736,277.3887602,458.3214677,1730.5875879999999,37025.2951
2004,H.1: Expenditure by year,3628.9751409999994,3575.983415,232.4150654,8554.654048,2812.144423,1629.899402,12996.69787,9593.999047,2159.254902,1770.9353649999998,13524.18931,1099.2,,2748.195513,1078.928308,311.4919856,319.5870548,1710.007348,39515.66367
2005,H.1: Expenditure by year,4105.654544,3587.04572,253.9082935,9220.705393,2959.446942,1713.3480690000001,13893.5004,10198.44413,2245.375928,1838.344223,14282.16428,1480.1,,2772.786566,1100.138385,365.3552102,362.092221,1827.585816,42202.74563
2006,H.1: Expenditure by year,4365.887274000001,4129.426313,303.9984795,9717.619817,3212.245742,2034.346587,14964.21215,11214.850209999999,2349.082038,1914.603731,15478.53598,2055.0,,2731.413807,1174.8348720000001,384.33261319999997,467.10128310000005,2026.2687690000002,46054.74277
2007,H.1: Expenditure by year,4553.8608939999995,4493.914007,244.23907549999998,10432.47231,3529.396286,1991.328696,15953.19729,11831.73405,2478.444372,1958.978859,16269.157280000001,1550.9,,2981.048091,1202.575585,405.26729339999997,511.3075328,2119.150411,48165.46705
