Year,Category,Hospitals ,Other institutions ,Physicians ,Other professionals: Dental services ,Other professionals: Vision care services ,Other professionals: Other services,Total other professionals,Prescribed drugs ,Non-prescribed drugs ,Total drugs,Capital ,Public health ,Administration ,Other health spending: Health research ,Other health spending: Other ,Total other health spending,Grand total 
1975,A.3.1.1: Expenditures by year,5454.856223,1124.970607,1839.9161399999998,741.6670705,226.12152949999998,128.41094809999998,1096.199548,771.6890125,305.6180265,1077.307039,536.0743917,406.8169476,343.56449100000003,93.73642667,225.99503399999998,319.73146069999996,12199.43685
1976,A.3.1.1: Expenditures by year,6357.299793,1368.608821,2071.028354,869.1158134,260.0771154,145.4869541,1274.679883,883.4069067,316.0366116,1199.443518,544.1012227000001,510.6146138,361.91692939999996,105.43179109999998,256.6578396,362.0896306,14049.782769999998
1977,A.3.1.1: Expenditures by year,6792.846841,1576.9561019999999,2284.416116,1034.643213,295.8289795,162.57118930000001,1493.043382,987.9243531,324.491845,1312.4161980000001,563.7371843,598.5057023,408.3163538,129.4474295,290.2931495,419.740579,15449.97846
1978,A.3.1.1: Expenditures by year,7382.006328,1851.848941,2566.6812,1191.254481,335.9586099,186.3212704,1713.534361,1052.689358,392.8086332,1445.497991,672.2108946000001,615.3965336,406.7332316,150.44029519999998,302.4500521,452.89034730000003,17106.79983
1979,A.3.1.1: Expenditures by year,8114.144354000001,2171.7083789999997,2857.0500230000002,1374.531349,365.7515994,219.20660730000003,1959.4895559999998,1162.8674839999999,495.5336536,1658.4011380000002,725.1533726,706.991187,451.8073902,173.6800243,351.25271360000005,524.9327379,19169.67814
1980,A.3.1.1: Expenditures by year,9334.372644,2539.644448,3287.51007,1591.972861,414.3593175,255.3743096,2261.706488,1298.3516650000001,586.2967638,1884.6484289999999,990.7406737,845.3669162,512.3121259999999,202.5339418,439.535908,642.0698497999999,22298.37164
1981,A.3.1.1: Expenditures by year,11030.717270000001,2889.853154,3824.842969,1811.8034480000001,513.6108575000001,303.689564,2629.10387,1677.0921640000001,654.9633544,2332.055519,1111.197157,1006.108863,631.4977432000001,231.1520645,590.1782677,821.3303322,26276.70688
1982,A.3.1.1: Expenditures by year,13092.75819,3384.79465,4420.801079,2072.736931,609.7733057,357.33423650000003,3039.844473,1924.086473,714.9887981,2639.075271,1394.834742,1149.698739,693.2552737000001,257.9895972,686.0804463,944.0700434,30759.13246
1983,A.3.1.1: Expenditures by year,14417.622130000002,3741.56487,5052.688977000001,2225.7248600000003,715.0225604,411.6475339,3352.394954,2107.1281879999997,845.8513434,2952.979532,1436.607582,1241.417462,763.6382187999999,297.2904087,782.3989328,1079.689341,34038.60307
1984,A.3.1.1: Expenditures by year,15344.829930000002,3915.5390060000004,5525.850134,2402.2884010000002,829.3509747,452.2068733,3683.846249,2255.557186,1058.636864,3314.19405,1504.1343140000001,1376.487482,897.6218882000002,336.9073764,843.7297791000001,1180.6371550000001,36743.140210000005
