Year,USD/CAD
2019,1.329994
2018,1.295839583
2017,1.298295917
2016,1.325658333
2015,1.27812125
2014,1.104528917
2013,1.03022975
2012,0.999560833
2011,0.989137083
2010,1.030103833
2009,1.141712667
2008,1.065922333
2007,1.07429875
2006,1.1345035
2005,1.2121235
2004,1.302049917
2003,1.401935167
2002,1.569974583
2001,1.5485125
2000,1.485193583
1999,1.485852417
1998,1.482686417
1997,1.384315083
1996,1.363673167
1995,1.37241825
1994,1.365554917
1993,1.289863083
1992,1.208374583
1991,1.145863833
1990,1.166927833
1989,1.183736417
1988,1.230696667
1987,1.326010833
1986,1.389388
1985,1.36504175
1984,1.29437475
1983,1.231974167
1982,1.233109
1981,1.19837025
1980,1.168327417
1979,1.171128167
1978,1.13998275
1977,1.063156333
1976,0.9859095
1975,1.016738667
