,Year,Province Code,GDP ($mm),Pop (k),CPI (healthcare),Private health spend/capita ($),Public health spend/capita ($)
0,1975,N.L.,,556.5,31.47279126,106.65472220000001,368.63463360000003
1,1976,N.L.,,562.6,35.72161809,154.4031003,401.5884935
2,1977,N.L.,,565.3,38.16075941,215.41760330000002,426.51114450000006
3,1978,N.L.,,567.7,40.28517282,257.6754934,469.2839528
4,1979,N.L.,,570.1,42.16225972,288.4002456,541.8343203
5,1980,N.L.,,572.9,46.90912373,311.7947220000001,610.5485162
6,1981,N.L.,5240.0,574.8,51.8274524,366.78089680000005,714.0981254
7,1982,N.L.,5639.0,574.6,58.34310983,380.1502155,840.2606522
8,1983,N.L.,6052.0,579.6,65.2016966,405.01235510000004,929.9744125
9,1984,N.L.,6495.0,580.2,69.28075083,330.6054533,965.0591798
10,1985,N.L.,6812.0,579.3,71.54588936,340.1606868,1016.336611
11,1986,N.L.,7377.0,576.5,76.08519087,294.1515176000001,1115.183566
12,1987,N.L.,7973.0,575.2,80.04692717,326.88617139999997,1205.90512
13,1988,N.L.,8559.0,575.0,83.44914719,342.8129992000001,1276.137428
14,1989,N.L.,9059.0,576.4,87.56429925,353.7529995,1366.632392
15,1990,N.L.,9295.0,578.0,90.84920134,381.5505656,1515.289209
16,1991,N.L.,9702.0,579.5,95.52386969,427.13058,1562.856642
17,1992,N.L.,9679.0,580.0,98.48389135,463.98581510000014,1600.380181
18,1993,N.L.,9878.0,579.9,101.0017146,489.9918518999999,1594.8381880000006
19,1994,N.L.,10408.0,574.5,101.3987907,524.2006903,1650.4487
20,1995,N.L.,10860.0,567.4,101.0017146,522.2689893999999,1714.871727
21,1996,N.L.,10614.0,559.8,99.94585326,498.3092319,1740.597886
22,1997,N.L.,10718.0,551.0,100.0,516.3307998,1852.679843
23,1998,N.L.,11279.0,539.9,101.83196459999999,603.0205344999998,2051.728336
24,1999,N.L.,12351.0,533.4,103.3390488,623.4425942,2344.867141
25,2000,N.L.,14153.0,528.0,105.3876004,697.9976982000003,2497.2882870000008
26,2001,N.L.,14441.0,522.0,107.17444270000001,742.1453966,2711.818529
27,2002,N.L.,16730.0,519.4,108.31152420000001,800.8935042,2907.086981
28,2003,N.L.,18415.0,518.4,109.45763020000001,907.5266088999999,3069.765766
29,2004,N.L.,19666.0,517.3,109.1868965,984.2635961000001,3149.480132
30,2005,N.L.,22267.0,514.1,110.1795867,1075.835223,3281.060389
31,2006,N.L.,24577.0,510.6,112.5169209,1108.307416,3496.021304
32,2007,N.L.,29065.0,509.0,114.24059199999999,1253.2065400000001,3789.7222520000014
33,2008,N.L.,31573.0,511.5,116.55987730000001,1262.367069,4104.074511
34,2009,N.L.,25001.0,516.7,123.3372439,1331.157959,4486.522599
35,2010,N.L.,29085.0,522.0,122.804801,1470.458066,4885.049813000001
36,2011,N.L.,33539.0,525.0,123.75236890000001,1522.126394,5167.109192
37,2012,N.L.,32033.0,526.5,124.31188519999999,1615.264239,5319.600047999998
38,2013,N.L.,34459.0,527.4,120.9367386,1566.957956,5285.388548
39,2014,N.L.,34277.0,528.4,120.7562494,1623.8592429999999,5292.6648509999995
40,2015,N.L.,30332.0,528.8,121.64967060000001,1605.7832429999999,5458.79166
41,2016,N.L.,31112.0,530.3,123.6801733,1684.234173,5502.168633
42,2017,N.L.,31951.3492,528.8,125.74677379999999,1722.592866,5543.832271
43,2018,N.L.,33238.64684,525.5,126.76306570000001,1784.53925,5658.138939
44,1975,P.E.I.,,117.7,26.57565449,135.81025480000002,366.8123476
45,1976,P.E.I.,,118.6,28.51657308,131.4170214,398.4045109
46,1977,P.E.I.,,120.0,30.75609452,134.1909539,438.36800489999996
47,1978,P.E.I.,,121.7,34.26467812,171.57211,481.47706919999996
48,1979,P.E.I.,,123.0,36.10534265,258.3148561,526.923202
49,1980,P.E.I.,,123.7,39.40909949,380.6924974,607.8956727000002
50,1981,P.E.I.,1071.0,123.7,45.62016236,398.7762955,703.3945903
51,1982,P.E.I.,1150.0,123.9,52.81291297,407.146103,823.0245682999997
52,1983,P.E.I.,1334.0,125.4,56.42816689,407.2331807,904.0662048
53,1984,P.E.I.,1375.0,126.6,61.70473853,394.192233,956.7040208999999
54,1985,P.E.I.,1435.0,127.7,66.01850104,414.6597807,1004.736287
55,1986,P.E.I.,1669.0,128.4,70.05852369,386.1328814,1074.571341
56,1987,P.E.I.,1768.0,128.6,73.80592788,414.2417139,1164.0984740000001
57,1988,P.E.I.,1940.0,129.3,79.63941854,437.4178916999999,1260.706853
58,1989,P.E.I.,2089.0,130.1,83.27355107,499.1758931,1340.835225
59,1990,P.E.I.,2179.0,130.5,88.33301869,535.908656,1426.829912
60,1991,P.E.I.,2256.0,130.3,93.34528979,589.6945246,1563.8094119999994
61,1992,P.E.I.,2303.0,130.8,96.17708137,655.8788351,1599.5673880000006
62,1993,P.E.I.,2488.0,132.1,98.13101756,707.5086345,1651.430404
63,1994,P.E.I.,2541.0,133.4,98.82952615,724.6626877,1626.424784
64,1995,P.E.I.,2670.0,134.4,98.08382103,778.3962255,1657.765702
65,1996,P.E.I.,2826.0,135.8,98.61242213,781.2463709,1716.3612670000002
66,1997,P.E.I.,2836.0,136.1,100.0,811.1608181,1689.182661
67,1998,P.E.I.,2977.0,135.8,102.6996413,853.1375688999997,1807.7795
68,1999,P.E.I.,3161.0,136.3,103.7851614,878.2940229000003,1900.332394
69,2000,P.E.I.,3384.0,136.5,107.4948084,905.9749636,2034.62252
70,2001,P.E.I.,3449.0,136.7,110.9873513,1078.9264349999999,2403.426116
71,2002,P.E.I.,3706.0,136.9,113.28110249999999,1020.751499,2666.111988
72,2003,P.E.I.,3801.0,137.3,114.8669058,1174.863136,2740.474051
73,2004,P.E.I.,4028.0,137.9,115.48046059999999,1176.9597820000001,2692.79677
74,2005,P.E.I.,4258.0,138.2,117.34000379999999,1181.168188,2877.269899
75,2006,P.E.I.,4426.0,137.9,118.8125354,1378.374632,2998.9207760000004
76,2007,P.E.I.,4630.0,137.7,119.8131018,1371.741701,3230.411484
77,2008,P.E.I.,4754.0,138.8,121.08740800000001,1339.831761,3514.871685
78,2009,P.E.I.,4930.0,139.9,128.9881065,1547.8388539999999,3920.484208
79,2010,P.E.I.,5224.0,141.7,127.119124,1620.9944050000001,4204.293320000002
80,2011,P.E.I.,5424.0,144.0,127.21351709999999,1769.575059,4596.381724
81,2012,P.E.I.,5571.0,145.1,128.3651123,1677.217561,4480.100817000001
82,2013,P.E.I.,5753.0,145.2,125.1840665,1642.442462,4537.127135
83,2014,P.E.I.,5849.0,145.9,125.42004909999999,1643.253835,4511.8680060000015
84,2015,P.E.I.,6077.0,146.8,127.8648291,1658.2281289999999,4608.3277130000015
85,2016,P.E.I.,6321.0,149.5,130.7343779,1681.122355,4729.1709740000015
86,2017,P.E.I.,6665.578228,152.0,133.0186898,1761.659284,4953.287008
